customer_id,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,support_calls,churn
CUST-00000,0,0,1,17,1,0,1,0,0,1,1,0,0,0,1,1,72.65,1238.38,0,0
CUST-00001,0,1,1,26,0,0,0,0,0,0,0,0,0,2,1,0,18.0,445.25,0,0
CUST-00002,1,1,0,62,1,0,1,0,1,0,0,1,0,0,1,1,76.88,4545.87,4,0
CUST-00003,0,0,0,8,1,1,0,0,0,0,0,0,0,1,0,3,54.39,449.97,5,1
CUST-00004,0,0,0,8,1,1,1,0,1,0,0,0,1,0,1,2,116.16,906.42,1,0
CUST-00005,1,0,0,22,1,1,2,0,0,1,1,0,0,1,0,3,137.22,2929.75,1,0
CUST-00006,0,1,0,44,0,0,2,0,0,1,0,0,0,1,1,2,89.37,3781.48,2,0
CUST-00007,0,1,1,59,1,0,2,0,1,1,0,1,0,0,0,2,129.1,7536.05,2,0
CUST-00008,0,1,0,41,1,0,0,0,0,0,0,0,0,1,0,1,30.7,1314.52,4,0
CUST-00009,0,0,0,36,1,0,1,0,1,0,0,1,0,0,0,0,75.3,2608.78,1,0
CUST-00010,0,0,1,63,1,1,1,0,1,0,0,0,0,2,1,3,71.31,4549.58,3,0
CUST-00011,1,1,0,13,0,0,2,1,0,1,0,0,0,0,0,2,109.24,1379.56,1,0
CUST-00012,0,0,0,65,1,1,2,0,0,1,0,1,0,1,1,3,127.39,8048.35,2,0
CUST-00013,0,1,0,23,0,0,2,0,1,0,0,1,0,0,0,2,98.38,2293.05,3,0
CUST-00014,0,0,1,20,1,1,2,0,1,0,0,1,0,1,1,1,142.52,2965.13,3,0
CUST-00015,0,0,0,69,1,1,0,0,0,0,0,0,0,0,1,0,44.2,3090.71,1,0
CUST-00016,0,0,0,47,0,0,1,0,1,0,0,0,0,1,0,1,58.22,2849.64,1,0
CUST-00017,0,0,1,32,0,0,0,0,0,0,0,0,0,0,1,2,18.0,604.74,0,0
CUST-00018,0,1,0,24,1,1,0,0,0,0,0,0,0,0,1,3,58.45,1460.64,0,0
CUST-00019,0,0,1,32,0,0,0,0,0,0,0,0,0,2,1,3,18.0,563.17,4,0
CUST-00020,0,1,0,57,1,0,2,0,0,1,0,1,0,0,1,1,113.58,6192.45,1,0
CUST-00021,0,1,0,12,1,1,1,1,0,0,0,1,0,0,0,1,90.68,1108.82,0,0
CUST-00022,1,1,0,13,1,0,2,1,1,0,1,1,0,1,0,0,124.98,1644.42,5,1
CUST-00023,1,1,1,22,1,1,2,1,0,1,0,0,0,0,1,1,119.96,2528.75,0,0
CUST-00024,0,1,0,35,1,0,2,0,0,0,1,1,0,2,0,3,127.66,4532.27,1,0
CUST-00025,0,1,0,59,1,0,2,1,1,0,1,1,0,0,0,2,138.64,7916.19,5,0
CUST-00026,0,0,1,16,1,1,1,0,1,1,0,0,1,2,0,1,101.69,1646.29,1,0
CUST-00027,0,0,0,57,1,0,2,1,0,0,1,0,0,2,1,3,116.68,6511.69,3,0
CUST-00028,0,1,1,66,1,1,2,0,0,1,0,0,0,0,1,0,126.05,8648.17,2,0
CUST-00029,0,0,0,32,1,1,2,1,1,1,1,0,0,0,1,3,149.19,4635.59,1,1
CUST-00030,0,0,0,70,1,0,2,1,0,0,0,0,1,1,0,2,114.31,7947.13,3,0
CUST-00031,1,1,1,65,1,0,2,0,0,0,1,1,1,1,0,0,132.7,8235.03,1,0
CUST-00032,0,0,1,58,1,0,2,0,1,0,0,0,0,0,0,2,100.67,5977.44,2,0
CUST-00033,0,1,0,28,1,0,0,0,0,0,0,0,0,0,1,0,32.78,955.11,1,0
CUST-00034,0,1,1,22,1,1,0,0,0,0,0,0,0,0,0,2,46.57,1068.08,0,0
CUST-00035,0,0,1,63,1,1,1,0,0,1,1,0,1,1,1,0,116.53,7121.89,1,0
CUST-00036,0,1,1,32,1,0,2,1,1,1,1,1,1,1,0,0,167.1,5418.27,2,0
CUST-00037,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,41.1,126.44,2,1
CUST-00038,0,1,0,52,1,0,2,1,1,1,0,0,0,0,0,1,143.17,7370.98,4,1
